repo,files,size_mb,package_json_count,workflow_count,docker_file_count,has_readme,merge_marker_hits,localhost_refs,internal_headyio_refs,secret_pattern_hits,projected_markers,thin_projection_repo
Heady,29699,878.09,26,12,20,True,52546,777,282,0,0,0
Heady-pre-production,407,4.49,12,8,4,True,692,202,0,1,0,0
Heady-pre-production-9f2f0642,2292,67.77,26,14,18,True,3448,585,1,1,3,0
ai-workflow-engine,12,0.03,1,1,0,True,0,0,0,0,0,0
heady-docs,20,0.14,0,0,0,True,0,0,0,2,0,0
headyapi-core,7,0.0,1,1,1,True,0,1,0,0,0,1
headybot-core,7,0.0,1,1,1,True,0,1,0,0,0,1
headybuddy-core,7,0.0,1,1,1,True,0,1,0,0,0,1
headybuddy-web,0,0.0,0,0,0,False,0,0,0,0,0,0
headyconnection-core,7,0.0,1,1,1,True,0,1,0,0,1,1
headyio-core,7,0.0,1,1,1,True,0,1,0,0,0,1
headymcp-core,7,0.0,1,1,1,True,0,1,0,0,0,1
headymcp-production,1,0.0,0,0,0,True,0,0,0,0,0,0
headyme-core,7,0.0,1,1,1,True,0,2,0,0,1,1
headyos-core,7,0.0,1,1,1,True,0,1,0,0,0,1
headysystems-core,7,0.0,1,1,1,True,0,1,0,0,1,1
headysystems-production,4,0.01,0,0,0,True,0,0,0,0,0,0
main,58,0.07,0,0,1,False,0,21,0,0,0,0
sandbox,29673,877.65,25,11,17,True,51709,572,282,0,0,0
sandbox-pre-production,245,2.67,4,4,1,True,564,67,0,1,0,0
